#X,rev_axeAmortisseur_supportPrincipal->RZ_Velocity(rel)
#Time(sec),Angular Velocity(degrees/sec)_Real
3.080000E+00,-5.625655
3.090000E+00,-5.628274
3.100000E+00,-5.630896
3.110000E+00,-5.633521
3.120000E+00,-5.636149
3.130000E+00,-5.638780
3.140000E+00,-5.641415
3.150000E+00,-5.644053
3.160000E+00,-5.646693
3.170000E+00,-5.649338
3.180000E+00,-5.651984
3.190000E+00,-5.654634
3.200000E+00,-5.657287
3.210000E+00,-5.659944
3.220000E+00,-5.662602
3.230000E+00,-5.665265
3.240000E+00,-5.667929
3.250000E+00,-5.670597
3.260000E+00,-5.673268
3.270000E+00,-5.675942
3.280000E+00,-5.678618
3.290000E+00,-5.681298
3.300000E+00,-5.683980
3.310000E+00,-5.686665
3.320000E+00,-5.689352
3.330000E+00,-5.692043
3.340000E+00,-5.694736
3.350000E+00,-5.697432
3.360000E+00,-5.700131
3.370000E+00,-5.702832
3.380000E+00,-5.705536
3.390000E+00,-5.708242
3.400000E+00,-5.710951
3.410000E+00,-5.713663
3.420000E+00,-5.716378
3.430000E+00,-5.719094
3.440000E+00,-5.721814
3.450000E+00,-5.724536
3.460000E+00,-5.727260
3.470000E+00,-5.729987
3.480000E+00,-5.732716
3.490000E+00,-5.735448
3.500000E+00,-5.738182
3.510000E+00,-5.740918
3.520000E+00,-5.743657
3.530000E+00,-5.746398
3.540000E+00,-5.749141
3.550000E+00,-5.751887
3.560000E+00,-5.754635
3.570000E+00,-5.757385
3.580000E+00,-5.760137
3.590000E+00,-5.762892
3.600000E+00,-5.765648
3.610000E+00,-5.768407
3.620000E+00,-5.771168
3.630000E+00,-5.773932
3.640000E+00,-5.776697
3.650000E+00,-5.779464
3.660000E+00,-5.782233
3.670000E+00,-5.785005
3.680000E+00,-5.787778
3.690000E+00,-5.790553
3.700000E+00,-5.793330
3.710000E+00,-5.796110
3.720000E+00,-5.798891
3.730000E+00,-5.801674
3.740000E+00,-5.804458
3.750000E+00,-5.807245
3.760000E+00,-5.810034
3.770000E+00,-5.812824
3.780000E+00,-5.815616
3.790000E+00,-5.818410
3.800000E+00,-5.821206
3.810000E+00,-5.824003
3.820000E+00,-5.826802
3.830000E+00,-5.829602
3.840000E+00,-5.832405
3.850000E+00,-5.835208
3.860000E+00,-5.838014
3.870000E+00,-5.840821
3.880000E+00,-5.843630
3.890000E+00,-5.846440
3.900000E+00,-5.849251
3.910000E+00,-5.852065
3.920000E+00,-5.854879
3.930000E+00,-5.857695
3.940000E+00,-5.860513
3.950000E+00,-5.863332
3.960000E+00,-5.866152
3.970000E+00,-5.868973
3.980000E+00,-5.871796
3.990000E+00,-5.874621
4.000000E+00,-5.877446
4.010000E+00,-5.880273
4.020000E+00,-5.883101
4.030000E+00,-5.885930
4.040000E+00,-5.888760
4.050000E+00,-5.891592
4.060000E+00,-5.894425
4.070000E+00,-5.897258
4.080000E+00,-5.900093
4.090000E+00,-5.902929
4.100000E+00,-5.905766
4.110000E+00,-5.908604
4.120000E+00,-5.911443
4.130000E+00,-5.914283
4.140000E+00,-5.917124
4.150000E+00,-5.919966
4.160000E+00,-5.922809
4.170000E+00,-5.925653
4.180000E+00,-5.928497
4.190000E+00,-5.931343
4.200000E+00,-5.934189
4.210000E+00,-5.937036
4.220000E+00,-5.939884
4.230000E+00,-5.942732
4.240000E+00,-5.945582
4.250000E+00,-5.948432
4.260000E+00,-5.951282
4.270000E+00,-5.954134
4.280000E+00,-5.956986
4.290000E+00,-5.959838
4.300000E+00,-5.962691
4.310000E+00,-5.965545
4.320000E+00,-5.968399
4.330000E+00,-5.971254
4.340000E+00,-5.974109
4.350000E+00,-5.976965
4.360000E+00,-5.979821
4.370000E+00,-5.982677
4.380000E+00,-5.985534
4.390000E+00,-5.988391
4.400000E+00,-5.991249
4.410000E+00,-5.994107
4.420000E+00,-5.996965
4.430000E+00,-5.999824
4.440000E+00,-6.002682
4.450000E+00,-6.005541
4.460000E+00,-6.008401
4.470000E+00,-6.011260
